Title,User Rating %,Genres,Cast
The Monkey,68,"['Horror', 'Comedy']","['Theo James, as Hal / Bill', 'Tatiana Maslany, as Lois Shelburn', 'Christian Convery, as Young Hal / Young Bill', ""Colin O'Brien, as Petey"", 'Adam Scott, as Capt. Petey Shelburn', 'Elijah Wood, as Ted Hammerman', 'Rohan Campbell, as Ricky / Thrasher', 'Sarah Levy, as Aunt Ida', 'Osgood Perkins, as Uncle Chip']"
Smile 2,66,"['Horror', 'Mystery']","['Naomi Scott, as Skye Riley', 'Rosemarie DeWitt, as Elizabeth Riley', 'Lukas Gage, as Lewis', 'Miles Gutierrez-Riley, as Joshua', 'Peter Jacobson, as Morris', 'Ray Nicholson, as Paul Hudson', 'Dylan Gelula, as Gemma', 'Raúl Castillo, as Darius', 'Kyle Gallner, as Joel']"
Big World,70,"['Drama', 'Family']","['Jackson Yee, as Liu Chunhe', 'Diana Lin, as Chen Suqun', 'Jiang Qinqin, as Chen Lu', 'Zhou Yutong, as Yaya', 'Liao Xueqiu, as Little Golden (voice)', 'Yue Xiaojun, as Father', 'Li Gengyou, as Coffee Shop Manager', 'Zhang Jiali, as Little Princess', 'Xiaoying You, as Training Course Leader']"
The Ballad of Davy Crockett,52,['Action'],"['William Moseley, as Davy Crockett', 'Colm Meaney, as Caleb', 'Jesse Hutch, as Spike', 'Valerie Jane Parker, as Polly', 'Nico Tirozzi, as William Crockett', 'Edward Finlay, as Andrew Jackson', 'Rocky Abou-Sakher, as Wilkes', 'Gray Wolf Herrera, as Dawoni', 'Tommy Kramer, as Daniel Boone']"
Survive,60,"['Science Fiction', 'Thriller', 'Adventure', 'Action']","['Émilie Dequenne, as Julia', 'Andreas Pietschmann, as Tom', 'Lisa Delamar, as Cassie', 'Lucas Ebel, as Ben', ""Arben Bajraktaraj, as L'homme au harpon"", 'Olivier Ho Hio Hen, as Nao', 'Stéphanie Guerin,', 'Rida Ait Oufqir,', 'Youssef El Hiaboui,']"
Carry-On,69,"['Thriller', 'Action']","['Taron Egerton, as Ethan Kopek', 'Jason Bateman, as Traveler', 'Sofia Carson, as Nora Parisi', 'Danielle Deadwyler, as Elena Cole', 'Theo Rossi, as Watcher', 'Logan Marshall-Green, as Agent Alcott', 'Dean Norris, as Phil Sarkowski', 'Sinqua Walls, as Jason Noble', 'Gil Perez-Abraham, as Eddie']"
Terrifier 3,69,"['Horror', 'Thriller']","['Lauren LaVera, as Sienna Shaw', 'David Howard Thornton, as Art the Clown', 'Samantha Scaffidi, as Victoria Heyes', 'Elliott Fullam, as Jonathan Shaw', 'Margaret Anne Florence, as Jessica', 'Bryce Johnson, as Greg', 'Alexa Blair Robertson, as Mia', 'Antonella Rose, as Gabby', 'Mason Mecartea, as Cole']"
Undercover,71,"['Drama', 'Crime', 'Thriller']","['Carolina Yuste, as Arantxa Berradre / Marina Marín', 'Luis Tosar, as Ángel ""el Inhumano""', 'Víctor Clavijo, as Teruel', 'Nausicaa Bonnín, as Andrea', 'Iñigo Gastesi, as Kepa Etxebarria', 'Diego Anido, as Sergio Polo Escobes', 'Pedro Casablanc, as Superior de la Policía Nacional', 'Pepe Ocio,', 'Jorge Rueda,']"
Interstellar,85,"['Adventure', 'Drama', 'Science Fiction']","['Matthew McConaughey, as Cooper', 'Anne Hathaway, as Brand', 'Michael Caine, as Professor Brand', 'Jessica Chastain, as Murph', 'Casey Affleck, as Tom', 'Wes Bentley, as Doyle', 'Topher Grace, as Getty', 'Mackenzie Foy, as Murph (10 Yrs.)', 'Ellen Burstyn, as Murph (older)']"
Sister-in-law's Taste 2,63,['Romance'],"['Ha Jin, as Si-yeon (Sister-in-law)', 'Kim Soo-ji, as Ji-ae (Older Sister-in-law)', 'Gil Dong, as Ha-neul (Brother-in-law)', 'Cha Myung-Hoon, as Jin-sang (Older Brother)']"
