Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Data Scientist(5),Ericsson,4.2,6564,['Noida'],Not disclosed,3-7 Yrs,6 Days Ago,"['Data management', 'Artificial Intelligence', 'Machine learning', 'Cloud', 'Programming', 'Business intelligence', 'Open source', 'Business understanding']","- Analyze, coordinate, prioritize, and optimize business requirements, and map th..."
Graduate Data Scientist,Worleyparsons,4.1,920,"['Mumbai', 'Navi Mumbai']",Not disclosed,5-10 Yrs,5 Days Ago,"['Computer science', 'Data analysis', 'Automation', 'Architecture', 'Analytical', 'Machine learning', 'Data quality', 'Information technology']",Understanding business objectives and developing models that help to achieve the...
Data Scientist,LLP S3bglobal Technologies,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,6-10 Yrs,6 Days Ago,['Data Scientist'],S3B Global is looking for Data Scientist to join our dynamic team and embark on a rewar...
Data Scientist,Ltimindtree,3.6,8841,"['Hybrid', 'Hyderabad', 'Bangalore Rural', 'Chennai']",Not disclosed,5-10 Yrs,6 Days Ago,"['Data Science', 'Pytorch', 'Python', 'Tensorflow', 'Pandas', 'Keras', 'Scikit-Learn', 'Numpy']","- More than 5 years of experience in Data Engineering, Data Science and AI / ML domain...."
Data Scientist - SageMaker,Winning Edge,2.5,3,['Bengaluru'],Not disclosed,5-9 Yrs,6 Days Ago,"['SageMaker', 'gensim', 'Java', 'spacy', 'NLP', 'PyTorch', 'CoreNLP', 'Elasticsearch']","Required/Proven experience with the following:o Designing, developing, and researching ..."
Data Scientist: Artificial Intelligence,IBM,4.1,20301,['Bengaluru'],Not disclosed,5-7 Yrs,7 Days Ago,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']","Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,IBM,4.1,20301,['Bengaluru'],Not disclosed,5-9 Yrs,12 Days Ago,"['data engineering', 'python', 'erp', 'data analysis', 'forecasting', 'dbms', 'cognos', 'business acumen']","To be successful as a Data Scientist, you should have a bachelors degree, and more impo..."
Data Scientist,IBM,4.1,20301,['Bengaluru'],Not disclosed,5-10 Yrs,12 Days Ago,"['python', 'business acumen', 'sql', 'financial accounting', 'etl', 'erp', 'data analysis', 'forecasting']","To be successful as a Data Scientist, you should have a bachelors degree, and more impo..."
Data Scientist With GEN AI - PER ROLE- BLR,IBM,4.1,20301,"['Hyderabad', 'Gurugram', 'Bengaluru']",25-40 Lacs PA,7-12 Yrs,12 Days Ago,"['GEN AI', 'LLM', 'Data Science', 'NLP', 'Data', 'PERT', 'Gen', 'Natural language processing']","Hi, We are looking for GEN AI Engineer role. Exp: 8+ YearsNP: Immediate to 90 Days o St..."
Data Scientist,Tech Mahindra,3.7,29100,"['Hybrid', 'Hyderabad', 'Chennai', 'Bengaluru']",Not disclosed,5-10 Yrs,13 Days Ago,"['Data Science', 'Gen AI', 'Azure', 'Generative AI', 'MLOps', 'Natural Language Processing', 'Machine Laerning', 'LLM']","Proven experience as a Data Scientist or similar role, preferably in the healthcare dom..."
Data Scientist,Poppulo,No rating,No reviews,['Bengaluru'],Not disclosed,5-7 Yrs,3 Days Ago,"['Computer science', 'Vista', 'Consulting', 'Machine learning', 'data visualization', 'Open source', 'Analytics', 'Private equity']","Expertise Required: . Bachelors or Masters degree in Data Science, Statistics, Computer..."
Data Scientist,SDI Business Services,4.7,11,"['Hybrid', 'Bengaluru']",Not disclosed,5-9 Yrs,3 Days Ago,"['Data Scientist', 'PowerBI', 'Machine Learning', 'Qliksense', 'Python', 'SQL', 'Machine', 'QlikView']","Position Title : Data ScientistLocation : Bangalore, IndiaFunctional Area : Customer &..."
Data Scientist,Cimpress,4.0,276,['Remote'],Not disclosed,1-5 Yrs,3 Days Ago,"['algorithms', 'python', 'development', 'cnn', 'natural language processing', 'mathematics', 'neural networks', 'dl']",. At least two years of hands-on experience in developing models for computer vision an...
Data Scientist,Hexaware Technologies,3.6,5084,"['Hybrid', 'Bengaluru']",16-30 Lacs PA,9-14 Yrs,7 Days Ago,"['Data Science', 'Natural Language Processing', 'Machine Learning', 'Deep Learning', 'Science', 'Machine', 'Process', 'Data']",Looking for Data Scientist candidates who is having good experience in below skills.Mac...
Data Scientist - AEP,Adobe Systems India Pvt. Ltd.,4.1,953,['Bengaluru'],Not disclosed,5-9 Yrs,12 Days Ago,"['Data analysis', 'data science', 'Image processing', 'Web analytics', 'Data modeling', 'Machine learning', 'Adobe', 'Digital marketing']","Experience with big data technologies and cloud platforms (e.g., AWS, Azure, Google Clo..."
Data Scientist,IBM,4.1,20301,['Bengaluru'],Not disclosed,6-10 Yrs,13 Days Ago,"['software development', 'artificial intelligence', 'sql', 'tensorflow', 'machine learning algorithms', 'continuous integration', 'algorithms', 'python']",Required Technical and Professional Expertise . Total 6+ years experinece in Data / AI/...
Data Scientist- Gen AI,Tech Mahindra,3.7,29100,"['Hyderabad', 'Bengaluru']",Not disclosed,5-10 Yrs,11 Days Ago,"['Gen AI', 'Python', 'NLP', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Machine', 'Gen']","Role & responsibilities Preferred candidate profile  -4+ years of experience in AI/ML, ..."
Data Scientist: Artificial Intelligence,IBM,4.1,20301,['Bengaluru'],Not disclosed,5-7 Yrs,13 Days Ago,"['algorithms', 'natural language processing', 'machine learning', 'sql', 'data science', 'hive', 'data analysis', 'pyspark']","Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,FitFinder,No rating,No reviews,['Remote'],35-50 Lacs PA,5-10 Yrs,3 Days Ago,"['Data Scientist', 'Predictive Modeling', 'Matplotlib', 'Power BI', 'Data Preprocessing', 'Problem-Solving', 'Hadoop', 'Big Data']","Technical Expertise: Strong knowledge of data science and machine learning tools, inclu..."
Data Scientist,Service based company,No rating,No reviews,['Bengaluru'],8.5-18 Lacs PA,8-13 Yrs,5 Days Ago,"['Data Science', 'Tensorflow', 'Artificial Intelligence', 'Machine Learning', 'Natural Language Processing', 'Deep Learning', 'Science', 'Intelligence']",6+ years of IT experience with a min of 3+ years in Data Science (AI / ML)Experience wi...
Data Scientist,Indian MNC,No rating,No reviews,['Remote'],15-30 Lacs PA,7-12 Yrs,5 Days Ago,"['Data science', 'sql', 'AWS', 'azure', 'Data', 'Science', 'Microsoft Azure']",Role & responsibilities  Solves analytical problems using quantitative approaches throu...
Opportunity | Data Scientist | Tavant India,Tavant Technologies,3.9,532,"['Hybrid', 'Noida', 'Hyderabad/Secunderabad', 'Bangalore/Bengaluru']",Not disclosed,10-17 Yrs,12 Days Ago,"['elastic search', 'python', 'NLP', 'open search', 'machine learning', 'Open', 'Natural language processing', 'Searching']","Qualifications: . Bachelors or Masters degree in Computer Science, Data Science, Statis..."
Data Scientist,Williams Lea,4.1,409,"['Kochi', 'Chennai']",Not disclosed,5-9 Yrs,3 Days Ago,"['Data Science', 'python', 'Tableau', 'powerbi', 'Machine Learning', 'sql', 'r', 'techflow']","Masters or PhD in Computer Science, Statistics, Mathematics, Engineering, or a related ..."
Data Scientist Maruti Suzuki,Maruti Suzuki,4.2,6770,['Gurugram'],Not disclosed,3-7 Yrs,6 Days Ago,"['Deep Learning', 'Data Science', 'Natural Language Processing', 'Pandas', 'Data Visualization', 'Machine Learning', 'Numpy', 'Machine']",BE/ B Tech with 60% marks and certification course / diploma in Data science Competency...
